AnnoS;CorsoTIPO;AnnoNascita;SESSO;Lau
2023;Laurea Magistrale;1983 e precedenti;F;5086
2023;Laurea Magistrale Ciclo Unico;1983 e precedenti;F;993
2023;Vecchio Ordinamento;1983 e precedenti;F;296
2023;Laurea;1983 e precedenti;M;6644
2023;Laurea Magistrale;1983 e precedenti;M;3531
2023;Laurea Magistrale Ciclo Unico;1983 e precedenti;M;939
2023;Vecchio Ordinamento;1983 e precedenti;M;125
2023;Laurea;1984;F;582
2023;Laurea Magistrale;1984;F;736
2023;Laurea Magistrale Ciclo Unico;1984;F;157
2023;Vecchio Ordinamento;1984;F;2
2023;Laurea;1984;M;507
2023;Laurea Magistrale;1984;M;388
2023;Laurea Magistrale Ciclo Unico;1984;M;80
2023;Laurea;1985;F;609
2023;Laurea Magistrale;1985;F;713
2023;Laurea Magistrale Ciclo Unico;1985;F;173
2023;Vecchio Ordinamento;1985;F;2
2023;Laurea;1985;M;551
2023;Laurea Magistrale;1985;M;410
2023;Laurea Magistrale Ciclo Unico;1985;M;93
2023;Laurea;1986;F;659
2023;Laurea Magistrale;1986;F;745
2023;Laurea Magistrale Ciclo Unico;1986;F;209
2023;Vecchio Ordinamento;1986;F;3
2023;Laurea;1986;M;590
2023;Laurea Magistrale;1986;M;493
2023;Laurea Magistrale Ciclo Unico;1986;M;118
2023;Laurea;1987;F;765
2023;Laurea Magistrale;1987;F;831
2023;Laurea Magistrale Ciclo Unico;1987;F;229
2023;Vecchio Ordinamento;1987;F;4
2023;Laurea;1987;M;642
2023;Laurea Magistrale;1987;M;520
2023;Laurea Magistrale Ciclo Unico;1987;M;123
2023;Laurea;1988;F;840
2023;Laurea Magistrale;1988;F;940
2023;Laurea Magistrale Ciclo Unico;1988;F;259
2023;Vecchio Ordinamento;1988;F;4
2023;Laurea;1988;M;869
2023;Laurea Magistrale;1988;M;650
2023;Laurea Magistrale Ciclo Unico;1988;M;185
2023;Laurea;1989;F;883
2023;Laurea Magistrale;1989;F;1014
2023;Laurea Magistrale Ciclo Unico;1989;F;309
2023;Vecchio Ordinamento;1989;F;6
2023;Laurea;1989;M;867
2023;Laurea Magistrale;1989;M;775
2023;Laurea Magistrale Ciclo Unico;1989;M;200
2023;Vecchio Ordinamento;1989;M;1
2023;Laurea;1990;F;1029
2023;Laurea Magistrale;1990;F;1177
2023;Laurea Magistrale Ciclo Unico;1990;F;423
2023;Vecchio Ordinamento;1990;F;4
2023;Laurea;1990;M;1065
2023;Laurea Magistrale;1990;M;849
2023;Laurea Magistrale Ciclo Unico;1990;M;265
2023;Laurea;1991;F;1155
2023;Laurea Magistrale;1991;F;1411
2023;Laurea Magistrale Ciclo Unico;1991;F;464
2023;Vecchio Ordinamento;1991;F;2
2023;Laurea;1991;M;1207
2023;Laurea Magistrale;1991;M;1120
2023;Laurea Magistrale Ciclo Unico;1991;M;312
2023;Laurea;1992;F;1455
2023;Laurea Magistrale;1992;F;1763
2023;Laurea Magistrale Ciclo Unico;1992;F;582
2023;Vecchio Ordinamento;1992;F;1
2023;Laurea;1992;M;1464
2023;Laurea Magistrale;1992;M;1495
2023;Laurea Magistrale Ciclo Unico;1992;M;413
2023;Laurea;1993;F;1680
2023;Laurea Magistrale;1993;F;2363
2023;Laurea Magistrale Ciclo Unico;1993;F;834
2023;Laurea;1993;M;1695
2023;Laurea Magistrale;1993;M;2057
2023;Laurea Magistrale Ciclo Unico;1993;M;536
2023;Laurea;1994;F;2069
2023;Laurea Magistrale;1994;F;3196
2023;Laurea Magistrale Ciclo Unico;1994;F;1052
2023;Laurea;1994;M;2238
2023;Laurea Magistrale;1994;M;2851
2023;Laurea Magistrale Ciclo Unico;1994;M;675
2023;Laurea;1995;F;2661
2023;Laurea Magistrale;1995;F;4764
2023;Laurea Magistrale Ciclo Unico;1995;F;1455
2023;Laurea;1995;M;2777
2023;Laurea Magistrale;1995;M;4257
2023;Laurea Magistrale Ciclo Unico;1995;M;935
2023;Laurea;1996;F;3444
2023;Laurea Magistrale;1996;F;7892
2023;Laurea Magistrale Ciclo Unico;1996;F;2244
2023;Laurea;1996;M;3565
2023;Laurea Magistrale;1996;M;6669
2023;Laurea Magistrale Ciclo Unico;1996;M;1325
2023;Laurea;1997;F;5033
2023;Laurea Magistrale;1997;F;13330
2023;Laurea Magistrale Ciclo Unico;1997;F;3983
2023;Laurea;1997;M;5122
2023;Laurea Magistrale;1997;M;10222
2023;Laurea Magistrale Ciclo Unico;1997;M;2044
2023;Laurea;1998;F;8237
2023;Laurea Magistrale;1998;F;17344
2023;Laurea Magistrale Ciclo Unico;1998;F;6151
2023;Laurea;1998;M;7481
2023;Laurea Magistrale;1998;M;12854
2023;Laurea Magistrale Ciclo Unico;1998;M;2947
2023;Laurea;1999;F;15362
2023;Laurea Magistrale;1999;F;13238
2023;Laurea Magistrale Ciclo Unico;1999;F;4134
2023;Laurea;1999;M;11903
2023;Laurea Magistrale;1999;M;9258
2023;Laurea Magistrale Ciclo Unico;1999;M;1375
2023;Laurea;2000;F;30343
2023;Laurea Magistrale;2000;F;1836
