AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2008;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;2853
2009;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;2661
2005;101;Torino;19;Scienze dell'amministrazione e dell'organizzazione;TORINO;1;M;2207
2007;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;1912
2003;5802;Roma Tor Vergata;DS1;Scienze della sicurezza economico finanziaria;ROMA;58;M;1760
2002;5001;Pisa;DS1;Scienze marittime e navali;PISA;50;M;1678
2001;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1452
2006;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;1434
2002;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1428
2008;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;1369
2005;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1298
2003;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1290
2003;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1287
2004;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1241
2004;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1241
2009;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;1227
2003;5802;Roma Tor Vergata;DS1;Scienze della sicurezza;ROMA;58;M;1189
2003;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1182
2002;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1182
2004;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;1177
2001;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1174
2006;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1103
2004;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza economico-finanziaria;ROMA;58;M;1099
2003;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;1084
2003;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza interna ed esterna;ROMA;58;M;1061
2001;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;1040
2002;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;1040
2005;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1033
2002;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1031
2004;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1029
2003;2801;Padova;99999;Psicologia;PADOVA;28;F;1022
2005;3201;Trieste;99999;Scienze politiche;TRIESTE;32;M;1005
2002;2801;Padova;99999;Psicologia;PADOVA;28;F;986
2007;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;F;984
2001;7201;Bari;99999;Giurisprudenza;BARI;72;F;974
2004;2801;Padova;99999;Psicologia;PADOVA;28;F;970
2001;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;961
2001;2801;Padova;99999;Psicologia;PADOVA;28;F;960
2002;7201;Bari;99999;Giurisprudenza;BARI;72;F;960
2007;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;953
2002;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;946
2001;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;945
2005;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;938
2003;7201;Bari;99999;Giurisprudenza;BARI;72;F;936
2002;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;934
2001;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;910
2004;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;900
2003;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;897
2003;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;883
2004;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;880
2001;1501;Milano;99999;Giurisprudenza;MILANO;15;F;878
2001;3201;Trieste;99999;Servizio sociale;TRIESTE;32;F;875
2003;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;875
2001;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;871
2004;7201;Bari;99999;Giurisprudenza;BARI;72;F;865
2002;2801;Padova;SNT1;Infermieristica;PADOVA;28;F;860
2003;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;856
2002;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;837
2005;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;837
2002;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;833
2006;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;832
2002;1501;Milano;99999;Giurisprudenza;MILANO;15;F;831
2001;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;827
2004;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;827
2005;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;821
2001;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;819
2004;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;814
2006;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;798
2003;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;780
2003;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza economico-finanziaria;ROMA;58;M;778
2005;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;760
2003;5801;Roma La Sapienza;SNT2;Fisioterapia;ROMA;58;F;758
2005;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;752
2007;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;750
2006;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;749
2007;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;742
2005;7201;Bari;99999;Giurisprudenza;BARI;72;F;742
2001;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;736
2003;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;730
2006;101;Torino;19;Scienze dell'amministrazione e dell'organizzazione;TORINO;1;M;730
2002;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;729
2002;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;724
2005;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;724
2002;3201;Trieste;99999;Servizio sociale;TRIESTE;32;F;715
2001;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;711
2006;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;707
2001;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;705
2003;1501;Milano;99999;Giurisprudenza;MILANO;15;F;698
2007;8201;Palermo;SNT1;Infermieristica;PALERMO;82;F;695
2001;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;M;692
2003;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;687
2006;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;687
2004;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;685
2001;7201;Bari;99999;Giurisprudenza;BARI;72;M;681
2002;7201;Bari;99999;Giurisprudenza;BARI;72;M;679
2006;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;677
2002;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;670
2004;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;666
2001;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;664
2005;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;659
2003;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;658
2005;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;655
2004;7201;Bari;99999;Scienze dell'educazione;BARI;72;F;650
2003;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;648
2005;2801;Padova;99999;Psicologia;PADOVA;28;F;645
2009;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;644
2002;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;643
2002;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;638
2008;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;635
2004;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;628
2003;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;627
2003;7201;Bari;99999;Giurisprudenza;BARI;72;M;623
2005;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;F;623
2006;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;616
2004;1501;Milano;99999;Giurisprudenza;MILANO;15;F;614
2004;7201;Bari;99999;Giurisprudenza;BARI;72;M;612
2005;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;607
2003;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;F;603
2002;1504;Milano Cattolica;99999;Scienze dell'educazione;MILANO;15;F;600
2002;5802;Roma Tor Vergata;99999;Scienze motorie;ROMA;58;M;599
2002;1501;Milano;99999;Giurisprudenza;MILANO;15;M;596
2001;1501;Milano;99999;Giurisprudenza;MILANO;15;M;594
2006;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;591
2006;7201;Bari;99999;Giurisprudenza;BARI;72;F;590
2008;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;M;590
2003;1504;Milano Cattolica;99999;Scienze dell'educazione;MILANO;15;F;587
2005;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;585
2004;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;581
2004;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;F;577
2003;1505;Milano IULM;99999;Relazioni pubbliche;MILANO;15;F;574
2001;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;571
2007;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;M;571
2002;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;M;565
2005;7201;Bari;99999;Giurisprudenza;BARI;72;M;564
2004;3201;Trieste;99999;Scienze politiche;TRIESTE;32;M;560
2002;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;F;560
2006;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;M;559
2004;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;554
2004;8301;Messina;6;Servizio sociale;MESSINA;83;F;553
2004;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;552
2003;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;550
2004;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;550
2005;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;F;550
2007;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;548
2002;2801;Padova;99999;Scienze dell'educazione;PADOVA;28;F;543
2005;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;M;536
2002;1505;Milano IULM;99999;Relazioni pubbliche;MILANO;15;F;534
2001;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;M;533
2007;5810;Roma Marconi - telematica;28;Scienze economiche;ROMA;58;M;533
2003;2801;Padova;99999;Scienze dell'educazione;PADOVA;28;F;532
2005;7201;Bari;99999;Scienze dell'educazione;BARI;72;F;528
2007;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;M;525
2002;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;M;520
2002;101;Torino;99999;Giurisprudenza;TORINO;1;F;519
2004;2801;Padova;99999;Scienze dell'educazione;PADOVA;28;F;518
2001;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;F;517
2004;5802;Roma Tor Vergata;SNT1;Infermieristica;ROMA;58;F;515
2005;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;514
2001;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;514
2003;3201;Trieste;99999;Servizio sociale;TRIESTE;32;F;514
2006;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;514
2001;101;Torino;99999;Giurisprudenza;TORINO;1;F;513
2005;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;513
2005;1501;Milano;99999;Giurisprudenza;MILANO;15;F;508
2003;7201;Bari;99999;Scienze dell'educazione;BARI;72;F;508
2005;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;507
2001;1501;Milano;99999;Scienze politiche;MILANO;15;F;503
2001;3401;Parma;99999;Giurisprudenza;PARMA;34;F;502
2004;101;Torino;99999;Giurisprudenza;TORINO;1;F;501
2006;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;501
2002;7201;Bari;99999;Economia e commercio;BARI;72;M;500
2004;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;499
2004;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;495
2002;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;495
2001;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;F;492
2004;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;491
2003;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;489
2006;6306;Napoli Vanvitelli;99999;Psicologia;CASERTA;61;F;488
2009;6901;Chieti e Pescara;34;Scienze psicologiche;CHIETI;69;F;486
2009;6301;Napoli Federico II;LMG/01;Giurisprudenza;NAPOLI;63;F;485
2003;1501;Milano;99999;Giurisprudenza;MILANO;15;M;484
2001;1501;Milano;99999;Scienze politiche;MILANO;15;M;484
2004;6301;Napoli Federico II;99999;Lettere;NAPOLI;63;F;484
2005;3701;Bologna;99999;Discipline dell'arte, della musica e dello spettacolo;BOLOGNA;37;F;483
2005;4801;Firenze;99999;Psicologia;FIRENZE;48;F;482
2001;101;Torino;99999;Economia e commercio;TORINO;1;F;482
2008;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;482
2002;1504;Milano Cattolica;99999;Lingue e letterature straniere;MILANO;15;F;477
2003;5001;Pisa;99999;Giurisprudenza;PISA;50;F;475
2003;101;Torino;99999;Giurisprudenza;TORINO;1;F;473
2003;1501;Milano;99999;Lettere;MILANO;15;F;471
2002;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;471
2002;5802;Roma Tor Vergata;99999;Scienze motorie;ROMA;58;F;470
2007;1501;Milano;13;Scienze dei beni culturali;MILANO;15;F;469
2005;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;M;467
2005;6301;Napoli Federico II;99999;Lettere;NAPOLI;63;F;467
2006;8201;Palermo;99999;Psicologia;PALERMO;82;F;466
2008;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;466
2003;3701;Bologna;99999;Scienze dell'educazione;BOLOGNA;37;F;465
2003;1501;Milano;99999;Scienze politiche;MILANO;15;F;464
2004;1504;Milano Cattolica;99999;Scienze dell'educazione;MILANO;15;F;464
2007;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;464
2001;4801;Firenze;99999;Architettura;FIRENZE;48;F;463
2001;3701;Bologna;99999;Scienze criminologiche applicate;FORLI';40;M;462
2007;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;461
2001;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;F;460
2002;6301;Napoli Federico II;99999;Architettura;NAPOLI;63;M;460
2002;1501;Milano;99999;Scienze politiche;MILANO;15;F;459
2004;8201;Palermo;99999;Psicologia;PALERMO;82;F;459
2005;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;M;459
2002;3401;Parma;99999;Giurisprudenza;PARMA;34;F;458
2007;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;458
2003;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;M;457
2003;1502;Milano Politecnico;99999;Ingegneria gestionale;MILANO;15;M;456
2001;1504;Milano Cattolica;99999;Lingue e letterature straniere;MILANO;15;F;456
2004;1505;Milano IULM;99999;Relazioni pubbliche;MILANO;15;F;455
2004;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;455
2004;4801;Firenze;99999;Psicologia;FIRENZE;48;F;455
2001;101;Torino;99999;Economia e commercio;TORINO;1;M;454
2002;1501;Milano;99999;Lettere;MILANO;15;F;453
2004;1501;Milano;99999;Lettere;MILANO;15;F;453
2001;1501;Milano;99999;Lettere;MILANO;15;F;450
2009;1504;Milano Cattolica;3;Scienze linguistiche;MILANO;15;F;450
2001;1505;Milano IULM;99999;Relazioni pubbliche;MILANO;15;F;449
2003;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;M;449
2005;5802;Roma Tor Vergata;SNT1;Infermieristica;ROMA;58;F;448
2003;7201;Bari;99999;Economia e commercio;BARI;72;M;446
2003;4801;Firenze;99999;Architettura;FIRENZE;48;M;446
2002;3701;Bologna;99999;Scienze dell'educazione;BOLOGNA;37;F;444
2003;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;F;443
2005;1505;Milano IULM;14;Relazioni pubbliche e pubblicità;MILANO;15;F;443
2005;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;M;442
2004;5001;Pisa;99999;Giurisprudenza;PISA;50;F;442
2006;1501;Milano;13;Scienze dei beni culturali;MILANO;15;F;442
2009;1503;Milano Bocconi;17;Economia aziendale e management;MILANO;15;M;442
2003;1504;Milano Cattolica;99999;Lingue e letterature straniere;MILANO;15;F;439
2002;4801;Firenze;99999;Architettura;FIRENZE;48;F;439
2001;2801;Padova;99999;Scienze dell'educazione;PADOVA;28;F;439
2001;7201;Bari;99999;Economia e commercio;BARI;72;M;438
2004;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;F;437
2004;8201;Palermo;99999;Giurisprudenza;PALERMO;82;F;436
2001;7201;Bari;99999;Lettere;BARI;72;F;436
2002;5001;Pisa;99999;Giurisprudenza;PISA;50;F;436
2008;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;436
2006;2801;Padova;34;Scienze psicologiche della personalità e delle relazioni interpersonali;PADOVA;28;F;432
2006;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;M;432
2003;6301;Napoli Federico II;99999;Lettere;NAPOLI;63;F;431
2004;6501;Salerno;99999;Giurisprudenza;FISCIANO;65;F;431
2001;101;Torino;99999;Psicologia;TORINO;1;F;430
2002;4801;Firenze;99999;Architettura;FIRENZE;48;M;429
2003;4801;Firenze;99999;Architettura;FIRENZE;48;F;429
2004;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;M;429
2005;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;429
2002;6301;Napoli Federico II;99999;Lettere;NAPOLI;63;F;427
2001;6301;Napoli Federico II;99999;Architettura;NAPOLI;63;M;427
2006;4801;Firenze;99999;Psicologia;FIRENZE;48;F;427
2003;2801;Padova;99999;Scienze politiche;PADOVA;28;F;426
2001;3701;Bologna;99999;Scienze politiche;BOLOGNA;37;F;425
2005;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;425
2004;8301;Messina;99999;Giurisprudenza;MESSINA;83;F;424
2002;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;F;424
2002;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;F;423
2002;1502;Milano Politecnico;99999;Ingegneria meccanica;MILANO;15;M;421
2009;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;421
2001;1504;Milano Cattolica;99999;Scienze dell'educazione;MILANO;15;F;420
2005;2801;Padova;34;Scienze psicologiche della personalità e delle relazioni interpersonali;PADOVA;28;F;420
2001;5001;Pisa;99999;Giurisprudenza;PISA;50;F;419
2003;8701;Catania;99999;Giurisprudenza;CATANIA;87;F;418
2005;8201;Palermo;99999;Giurisprudenza;PALERMO;82;F;417
2008;1502;Milano Politecnico;4;Scienze dell'architettura;MILANO;15;F;417
2004;3701;Bologna;99999;Discipline dell'arte, della musica e dello spettacolo;BOLOGNA;37;F;416
2001;3401;Parma;99999;Giurisprudenza;PARMA;34;M;416
2002;101;Torino;99999;Economia e commercio;TORINO;1;M;416
2002;1501;Milano;99999;Scienze politiche;MILANO;15;M;416
2003;8201;Palermo;99999;Giurisprudenza;PALERMO;82;F;415
2004;1504;Milano Cattolica;99999;Lingue e letterature straniere;MILANO;15;F;415
2007;8601;Enna KORE;17;Economia aziendale ;ENNA;86;M;415
2005;101;Torino;99999;Giurisprudenza;TORINO;1;F;412
2003;3701;Bologna;99999;Discipline dell'arte, della musica e dello spettacolo;BOLOGNA;37;F;412
2002;3401;Parma;99999;Giurisprudenza;PARMA;34;M;412
2002;6301;Napoli Federico II;99999;Architettura;NAPOLI;63;F;412
2001;3701;Bologna;99999;Economia e commercio;BOLOGNA;37;M;412
2003;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;408
2004;1501;Milano;99999;Giurisprudenza;MILANO;15;M;407
2002;2801;Padova;99999;Scienze politiche;PADOVA;28;F;407
2005;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;407
2007;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;F;407
2003;7201;Bari;99999;Economia e commercio;BARI;72;F;406
2002;7201;Bari;99999;Lettere;BARI;72;F;405
2003;8201;Palermo;99999;Psicologia;PALERMO;82;F;404
2001;5801;Roma La Sapienza;99999;Scienze politiche;ROMA;58;F;403
2001;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;F;402
2007;2801;Padova;34;Scienze psicologiche della personalità e delle relazioni interpersonali;PADOVA;28;F;402
2006;8701;Catania;99999;Scienze dell'educazione;CATANIA;87;F;401
2003;7201;Bari;99999;Lettere;BARI;72;F;400
2004;2301;Verona;99999;Scienze dell'educazione;VERONA;23;F;400
2003;2301;Verona;99999;Scienze dell'educazione;VERONA;23;F;399
2004;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;F;398
2008;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;F;398
2003;3401;Parma;99999;Giurisprudenza;PARMA;34;F;397
2004;7201;Bari;99999;Economia e commercio;BARI;72;M;397
2004;5801;Roma La Sapienza;99999;Scienze politiche;ROMA;58;F;396
2005;6306;Napoli Vanvitelli;99999;Psicologia;CASERTA;61;F;396
2004;101;Torino;99999;Psicologia;TORINO;1;F;396
2008;1501;Milano;13;Scienze dei beni culturali;MILANO;15;F;396
2003;6901;Chieti e Pescara;6;Servizio sociale;CHIETI;69;F;395
2002;7201;Bari;99999;Economia e commercio;BARI;72;F;395
2002;5801;Roma La Sapienza;99999;Medicina e chirurgia;ROMA;58;F;395
2002;5801;Roma La Sapienza;99999;Architettura;ROMA;58;F;395
2005;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;395
2005;1504;Milano Cattolica;99999;Lingue e letterature straniere;MILANO;15;F;395
2004;7201;Bari;99999;Economia e commercio;BARI;72;F;394
2004;8701;Catania;99999;Giurisprudenza;CATANIA;87;F;394
2002;101;Torino;99999;Psicologia;TORINO;1;F;394
2007;5810;Roma Marconi - telematica;31;Scienze giuridiche;ROMA;58;M;394
2006;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;394
2005;8701;Catania;99999;Scienze dell'educazione;CATANIA;87;F;394
2007;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;393
2001;6301;Napoli Federico II;99999;Lettere;NAPOLI;63;F;393
2003;8301;Messina;99999;Giurisprudenza;MESSINA;83;F;393
2004;6303;Napoli L'Orientale;99999;Lingue e letterature straniere;NAPOLI;63;F;393
2002;101;Torino;99999;Economia e commercio;TORINO;1;F;392
2007;8201;Palermo;SNT1;Infermieristica;PALERMO;82;M;392
2006;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;392
2007;7201;Bari;99999;Giurisprudenza;BARI;72;F;391
2001;4801;Firenze;99999;Architettura;FIRENZE;48;M;391
2002;6501;Salerno;99999;Giurisprudenza;FISCIANO;65;F;391
2002;3701;Bologna;99999;Scienze politiche;BOLOGNA;37;F;391
2008;6901;Chieti e Pescara;34;Scienze psicologiche;CHIETI;69;F;391
2009;8701;Catania;SNT1;Infermieristica;CATANIA;87;F;391
2009;1504;Milano Cattolica;17;Economia e gestione aziendale;MILANO;15;M;390
2002;5801;Roma La Sapienza;99999;Scienze politiche;ROMA;58;F;390
2003;1501;Milano;99999;Scienze politiche;MILANO;15;M;388
2005;5401;Perugia;99999;Scienze della comunicazione;PERUGIA;54;F;388
2005;5001;Pisa;99999;Giurisprudenza;PISA;50;F;388
2007;4801;Firenze;34;Scienze e tecniche di psicologia clinica e di comunità;FIRENZE;48;F;387
2006;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;386
2005;2702;Venezia Iuav;99999;Architettura;VENEZIA;27;M;386
2003;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;F;386
2004;8201;Palermo;99999;Scienze dell'educazione;PALERMO;82;F;385
2006;1509;Milano Bicocca;18;Scienze dell'educazione;MILANO;15;F;385
2006;7201;Bari;18;Scienze dell'educazione e della formazione;BARI;72;F;385
2007;7201;Bari;18;Scienze dell'educazione e della formazione;BARI;72;F;384
2005;6304;Napoli Benincasa;99999;Scienze dell'educazione;NAPOLI;63;F;384
2001;2801;Padova;99999;Scienze politiche;PADOVA;28;F;384
2001;7201;Bari;99999;Economia e commercio;BARI;72;F;383
2001;6301;Napoli Federico II;99999;Architettura;NAPOLI;63;F;383
2004;7201;Bari;99999;Lingue e letterature straniere;BARI;72;F;383
2008;1502;Milano Politecnico;04/S;Architettura;MILANO;15;F;383
2004;4801;Firenze;99999;Architettura;FIRENZE;48;F;382
2004;1504;Milano Cattolica;99999;Economia e commercio;MILANO;15;F;381
2004;5807;Roma Tre;99999;Scienze dell'educazione;ROMA;58;F;381
2005;7201;Bari;18;Scienze dell'educazione e della formazione;BARI;72;F;380
2005;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;F;380
2005;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;379
2006;7201;Bari;99999;Giurisprudenza;BARI;72;M;379
2004;6301;Napoli Federico II;99999;Architettura;NAPOLI;63;M;378
2002;4801;Firenze;99999;Giurisprudenza;FIRENZE;48;F;378
2004;1503;Milano Bocconi;17;Economia aziendale;MILANO;15;M;377
2005;6501;Salerno;99999;Giurisprudenza;FISCIANO;65;F;377
2004;2801;Padova;99999;Scienze politiche;PADOVA;28;F;376
2003;6501;Salerno;99999;Giurisprudenza;FISCIANO;65;F;376
2001;1502;Milano Politecnico;99999;Ingegneria meccanica;MILANO;15;M;375
2004;5401;Perugia;99999;Giurisprudenza;PERUGIA;54;F;375
2005;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;375
2009;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;375
2005;1501;Milano;99999;Giurisprudenza;MILANO;15;M;374
2004;101;Torino;18;Scienze dell'educazione;TORINO;1;F;374
2003;101;Torino;99999;Psicologia;TORINO;1;F;373
2002;8201;Palermo;99999;Giurisprudenza;PALERMO;82;F;373
2005;5403;Perugia Stranieri;99999;Comunicazione internazionale;PERUGIA;54;F;373
2004;4801;Firenze;99999;Architettura;FIRENZE;48;M;373
2004;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;M;373
2004;8701;Catania;99999;Lettere;CATANIA;87;F;372
2005;6306;Napoli Vanvitelli;34;Psicologia della prevenzione del disagio individuale e relazionale;CASERTA;61;F;372
2005;4801;Firenze;99999;Architettura;FIRENZE;48;M;372
2003;5801;Roma La Sapienza;99999;Scienze politiche;ROMA;58;F;372
2007;1504;Milano Cattolica;3;Scienze linguistiche per la comunicazione e l'impresa;MILANO;15;F;372
